NOME;Date RFQ;Customer;BUYER;PN;DESC;QTY;UOM;PN ALT#;DESC PN ALT;OEM;SOURCE 1;SOURCE 2;SOURCE 3;DATE;UNIT $;LT;REMARKS;Concluido;ID;id cotacao;Quote?;Customer PO;TERMS;CURRENCY;PRECO COMPRA;Vendor;AVAILABLE;CONDITION;VEND/DELIVERY;FINAL DESTINATION;OBS;EDD_vendor;EDD_Customer;PN Manufacturer;Status Quantum;vendor PO ;SO;$ LUCRO;Total LUCRO;Sales Code;ABBREV;EMAIL;Cotação Quantum
PAULO;01/03/2023;LATAM;Francisca Letelier ;NAS1612-6A;PACKING;100;EA;;;;PROPONENT - $ 4.39 - STK CA - MOQ 100EA;;;;8,459;3-5 DAYS;MOQ 100EA - FN - OEM CERTS - EX WORKS MIA;;PA010323NA-57-865;C-PA010323-1-452;Yes;;;;;;;;;;;;;;;;;;;;;;
PAULO;01/03/2023;LATAM;Francisca Letelier ;NAS1611-015A;PACKING (x 2 ea);100;EA;;;;PROPONENT - $ 4.35 - STK CA - MOQ 100EA;;;;8,415;3-5 DAYS;MOQ 100EA - FN - OEM CERTS - EX WORKS MIA;;PA010323NA-56-30;C-PA010323-1-452;Yes;;;;;;;;;;;;;;;;;;;;;;
PAULO;01/03/2023;LATAM;Francisca Letelier ;NAS1149E0463R;WASHER (x 3 ea);100;EA;;;;"AVIALL - $ 0.83 - STK TX - MOQ 100EA
https://shop.boeing.com/aviation-supply/p/NAS1149E0463R=15";;;;4,543;3-5 DAYS;MOQ 100EA - FN - OEM CERTS - EX WORKS MIA;;PA010323NA-55-169;C-PA010323-1-452;Yes;;;;;;;;;;;;;;;;;;;;;;
PAULO;01/03/2023;LATAM;Francisca Letelier ;JANTX1N4469;DIODE;5;EA;;;;American MicroSemiconductor - $ 21.85 - STK NJ;;;;96,635;3-5 DAYS;MOQ 5EA - FN - OEM CERTS;;PA010323JA-54-113;C-PA010323-1-452;Yes;;;;;;;;;;;;;;;;;;;;;;
PAULO;01/03/2023;LATAM;Francisca Letelier ;DK120/90;ULB-UNDERWATER LOCATOR BEACON;1;EA;;;;BROOKS - $ 1,943.60 - STK FL;;;;2830,96;5-7 DAYS;FN - OEM CERTS;;PA010323DK-53-588;C-PA010323-1-452;Yes;;;;;;;;;;;;;;;;;;;;;;
PAULO;01/03/2023;LATAM;Francisca Letelier ;DIN127BM4A2;WASHER LOCK;100;EA;;;;UNICAL - $ 5 - STK CA;;;;9,13;3-5 DAYS;MOQ 100EA - FN - OEM CERTS;;PA010323DI-52-37;C-PA010323-1-452;Yes;;;;;;;;;;;;;;;;;;;;;;
PAULO;01/03/2023;LATAM;Francisca Letelier ;B14056-013;OFF-WING RAMP SLIDE ENCLOSURE DOOR O RING;24;EA;;;;"JMF GLOBAL - $ 8.00 - STK CA - MOQ 18EA - FN - OEM CERTS - 
$ 23.93";MASTER AIR - $ 9.13 - STK CA - $ 25.17;;;25,168;3-5 DAYS;MOQ 24EA - FN - OEM CERTS - EX WORKS MIA;;PA010323B1-51-607;C-PA010323-1-452;Yes;;;;;;;;;;;;;;;;;;;;;;
PAULO;01/03/2023;LATAM;Francisca Letelier ;2-012N602-70;PACKING-O RING;60;EA;;;;KLX - $ 0.98 - STK MIA;;;;5,294666667;3-5 DAYS;MOQ 60EA - FN - OEM CERTS - EX-WORKS MIA;;PA0103232--50-677;C-PA010323-1-452;Yes;;;;;;;;;;;;;;;;;;;;;;
PAULO;01/03/2023;LATAM;Francisca Letelier ;2-010E515-80;JUNTA BORRACHA MOTOR VALVULA FLUXO SISTEMA AGUA/DEJETO TOALETE;30;EA;;;;AIRBUS - $ 2.30 - STK HAM;;;;10,96333333;3-5 DAYS;MOQ 30EA (PACKAGE 10EA) - FN - OEM CERTS - EX WORKS UK;;PA0103232--49-681;C-PA010323-1-452;Yes;;;;;;;;;;;;;;;;;;;;;;
PAULO;01/03/2023;LATAM;Francisca Letelier ;1A2580-32;ADHESIVE (LISTA 2 COMAT SCL);1;EA;;;;"AVIALL - $ 273.71 - STK TX
https://shop.boeing.com/aviation-supply/p/1A2580-32=E9";;;;1049,081;3-5 DAYS;MOQ 2EA - SHELF LIFE 3.6% - DOE: 03/30/2023 - EX WORKS MIA;;PA0103231A-48-452;C-PA010323-1-452;Yes;;;;;;;;;;;;;;;;;;;;;;
PAULO;01/03/2023;LATAM;Francisca Letelier ;1A2526-1;COAT KIT (ALUMINIZED);1;EA;;;;"AVIALL - $ 663.62 - 2EA PER PACK - STK TX 
https://shop.boeing.com/aviation-supply/p/1A2526-1=E9";;;;1477,982;3-5 DAYS;MOQ 2EA - (2EA PER PACK) - SHELF LIFE 85.7% - DOE:  10/10/2023 - EX WORKS MIA;;PA0103231A-47-198;C-PA010323-1-452;Yes;;;;;;;;;;;;;;;;;;;;;;
